User,n,EER,AUC
0,1,0.31442027360307256,0.7695519916633926
10,1,0.30248406242963793,0.7817413152204559
11,1,0.20072758399245094,0.8626230977635474
12,1,0.21428571428594537,0.8673355586201132
13,1,0.1919191919192898,0.905067682121569
14,1,0.2431961680821908,0.8226886615624627
15,1,0.27821011673112384,0.770696065715521
16,1,0.24603174603174605,0.8510938578329883
17,1,0.2981183405119983,0.7753754142781575
18,1,0.27027027027027023,0.8081354140038578
19,1,0.18411712510991643,0.9061688590483278
1,1,0.21511627906975467,0.8712785080328054
20,1,0.23853606028081625,0.8518945102260495
21,1,0.27210884353741494,0.8002296791177708
22,1,0.3398058252426873,0.7289239744712486
23,1,0.30952380952380953,0.7431331506961759
24,1,0.21428571428575824,0.8719408788698014
25,1,0.3389084507047995,0.700872013851062
26,1,0.1851851851857152,0.9025533163064552
27,1,0.22577854671368436,0.8585703745165886
28,1,0.23464293466346464,0.8371896620597448
29,1,0.2187637969080931,0.8654689534159733
2,1,0.3520942408373729,0.7183067866184892
30,1,0.3859649122807014,0.6411831678145888
3,1,0.1578947368423368,0.9054454651080683
4,1,0.2528735632186376,0.8216257095529563
5,1,0.25609756097569836,0.8267126489916632
6,1,0.055212014134144886,0.9842132876540332
7,1,0.1543566688084846,0.894976490084604
8,1,0.23664967870596493,0.8372536719690327
9,1,0.264105378705251,0.817095794737484
Mean,1,0.2468285417287817,0.8257853536104836
